epoch,step,loss,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
8.53,18100,0.1162,3e-05,,,,
8.55,18150,0.1159,3e-05,,,,
8.58,18200,0.1203,3e-05,,,,
8.6,18250,0.1188,3e-05,,,,
8.62,18300,0.1137,3e-05,,,,
8.65,18350,0.1262,3e-05,,,,
8.67,18400,0.1273,3e-05,,,,
8.69,18450,0.1284,3e-05,,,,
8.72,18500,0.129,3e-05,,,,
8.74,18550,0.1108,3e-05,,,,
8.77,18600,0.1224,3e-05,,,,
8.79,18650,0.1125,3e-05,,,,
8.81,18700,0.1181,3e-05,,,,
8.84,18750,0.1168,3e-05,,,,
8.86,18800,0.1341,3e-05,,,,
8.88,18850,0.1083,3e-05,,,,
8.91,18900,0.1092,3e-05,,,,
8.93,18950,0.1257,3e-05,,,,
8.95,19000,0.1236,3e-05,,,,
8.98,19050,0.126,3e-05,,,,
9.0,19100,0.1248,3e-05,,,,
9.02,19150,0.1013,3e-05,,,,
9.05,19200,0.0908,3e-05,,,,
9.07,19250,0.0992,3e-05,,,,
9.1,19300,0.0898,3e-05,,,,
9.12,19350,0.0984,3e-05,,,,
9.14,19400,0.1017,3e-05,,,,
9.17,19450,0.0943,3e-05,,,,
9.19,19500,0.0984,3e-05,,,,
9.21,19550,0.1104,3e-05,,,,
9.24,19600,0.1006,3e-05,,,,
9.26,19650,0.1037,3e-05,,,,
9.28,19700,0.1015,3e-05,,,,
9.31,19750,0.111,3e-05,,,,
9.33,19800,0.1006,3e-05,,,,
9.35,19850,0.1088,3e-05,,,,
9.38,19900,0.1027,3e-05,,,,
9.4,19950,0.108,3e-05,,,,
9.43,20000,0.1009,3e-05,,,,
9.43,20000,,,0.24852,187.141,155.466,38.869
9.45,20050,0.1123,3e-05,,,,
9.47,20100,0.1082,3e-05,,,,
9.5,20150,0.096,3e-05,,,,
9.52,20200,0.107,3e-05,,,,
9.54,20250,0.1015,3e-05,,,,
9.57,20300,0.1069,3e-05,,,,
9.59,20350,0.1094,3e-05,,,,
9.61,20400,0.1052,3e-05,,,,
9.64,20450,0.1105,3e-05,,,,
9.66,20500,0.109,3e-05,,,,
9.68,20550,0.1097,3e-05,,,,
9.71,20600,0.106,3e-05,,,,
9.73,20650,0.106,3e-05,,,,
9.76,20700,0.113,3e-05,,,,
9.78,20750,0.107,3e-05,,,,
9.8,20800,0.1065,3e-05,,,,
9.83,20850,0.1105,3e-05,,,,
9.85,20900,0.1132,3e-05,,,,
9.87,20950,0.11,3e-05,,,,
9.9,21000,0.0986,3e-05,,,,
9.92,21050,0.1229,3e-05,,,,
9.94,21100,0.1033,3e-05,,,,
9.97,21150,0.1045,3e-05,,,,
9.99,21200,0.1049,3e-05,,,,
10.01,21250,0.0866,2e-05,,,,
10.04,21300,0.0856,2e-05,,,,
10.06,21350,0.0909,2e-05,,,,
10.08,21400,0.0882,2e-05,,,,
10.11,21450,0.089,2e-05,,,,
10.13,21500,0.0888,2e-05,,,,
10.16,21550,0.0873,2e-05,,,,
10.18,21600,0.0845,2e-05,,,,
10.2,21650,0.0858,2e-05,,,,
10.23,21700,0.0969,2e-05,,,,
10.25,21750,0.0922,2e-05,,,,
10.27,21800,0.0942,2e-05,,,,
10.3,21850,0.0941,2e-05,,,,
10.32,21900,0.0996,2e-05,,,,
10.34,21950,0.0944,2e-05,,,,
10.37,22000,0.0893,2e-05,,,,
10.39,22050,0.0912,2e-05,,,,
10.41,22100,0.0966,2e-05,,,,
10.44,22150,0.0856,2e-05,,,,
10.46,22200,0.0887,2e-05,,,,
10.49,22250,0.0885,2e-05,,,,
10.51,22300,0.0855,2e-05,,,,
10.53,22350,0.0871,2e-05,,,,
10.56,22400,0.105,2e-05,,,,
10.58,22450,0.0963,2e-05,,,,
10.6,22500,0.0952,2e-05,,,,
10.63,22550,0.0917,2e-05,,,,
10.65,22600,0.0891,2e-05,,,,
10.67,22650,0.0951,2e-05,,,,
10.7,22700,0.089,2e-05,,,,
